Panel,Assay,Uniprot ID,OlinkID,LOD
Olink CARDIOMETABOLIC(v.3602),PRCP,P42785,OID01272,-0.20258000000000001
Olink CARDIOMETABOLIC(v.3602),CA1,P00915,OID01223,0.95304
Olink CARDIOMETABOLIC(v.3602),ICAM1,P05362,OID01230,1.3025500000000001
Olink CARDIOMETABOLIC(v.3602),CHL1,O00533,OID01216,1.49156
Olink CARDIOMETABOLIC(v.3602),TGFBI,Q15582,OID01291,3.1340499999999998
Olink CARDIOMETABOLIC(v.3602),ENG,P17813,OID01254,1.0606599999999999
Olink CARDIOMETABOLIC(v.3602),PLTP,P55058,OID01275,1.6170100000000001
Olink CARDIOMETABOLIC(v.3602),SERPINA7,P05543,OID01232,1.2802
Olink CARDIOMETABOLIC(v.3602),IGFBP3,P17936,OID01255,0.12852
Olink CARDIOMETABOLIC(v.3602),CR2,P20023,OID01258,1.61175
Olink CARDIOMETABOLIC(v.3602),SERPINA5,P05154,OID01229,1.5357000000000001
Olink CARDIOMETABOLIC(v.3602),FCGR3B,O75015,OID01219,0.48536000000000001
Olink CARDIOMETABOLIC(v.3602),IGFBP6,P24592,OID01264,1.5535000000000001
Olink CARDIOMETABOLIC(v.3602),CDH1,P12830,OID01245,1.04948
Olink CARDIOMETABOLIC(v.3602),CCL5,P13501,OID01246,2.33779
Olink CARDIOMETABOLIC(v.3602),CCL14,Q16627,OID01292,1.55497
Olink CARDIOMETABOLIC(v.3602),GNLY,P22749,OID01262,0.7651
Olink CARDIOMETABOLIC(v.3602),NOTCH1,P46531,OID01273,1.39103
Olink CARDIOMETABOLIC(v.3602),PAM,P19021,OID01256,0.51980000000000004
Olink CARDIOMETABOLIC(v.3602),PROC,P04070,OID01228,0.41442000000000001
Olink CARDIOMETABOLIC(v.3602),CST3,P01034,OID01225,1.2549600000000001
Olink CARDIOMETABOLIC(v.3602),NCAM1,P13591,OID01247,1.32843
Olink CARDIOMETABOLIC(v.3602),PCOLCE,Q15113,OID01289,1.08595
Olink CARDIOMETABOLIC(v.3602),LILRB1,Q8NHL6,OID01297,0.37628
Olink CARDIOMETABOLIC(v.3602),MET,P08581,OID01238,1.2625599999999999
Olink CARDIOMETABOLIC(v.3602),LTBP2,Q14767,OID01288,2.36449
Olink CARDIOMETABOLIC(v.3602),IL7R,P16871,OID01253,1.4920100000000001
Olink CARDIOMETABOLIC(v.3602),VCAM1,P19320,OID01257,1.04511
Olink CARDIOMETABOLIC(v.3602),SELL,P14151,OID01249,1.61056
Olink CARDIOMETABOLIC(v.3602),F11,P03951,OID01227,1.1298699999999999
Olink CARDIOMETABOLIC(v.3602),COMP,P49747,OID01274,1.50474
Olink CARDIOMETABOLIC(v.3602),CA4,P22748,OID01261,1.1396200000000001
Olink CARDIOMETABOLIC(v.3602),PTPRS,Q13332,OID01284,6.6809999999999994E-2
Olink CARDIOMETABOLIC(v.3602),MBL2,P11226,OID01243,3.0427300000000002
Olink CARDIOMETABOLIC(v.3602),TIMP1,P01033,OID01224,0.88375000000000004
Olink CARDIOMETABOLIC(v.3602),ANGPTL3,Q9Y5C1,OID01306,0.87399000000000004
Olink CARDIOMETABOLIC(v.3602),REG3A,Q06141,OID01280,1.10222
Olink CARDIOMETABOLIC(v.3602),SOD1,P00441,OID01222,0.52603
Olink CARDIOMETABOLIC(v.3602),CD46,P15529,OID01251,0.94901999999999997
Olink CARDIOMETABOLIC(v.3602),ITGAM,P11215,OID01242,1.50779
Olink CARDIOMETABOLIC(v.3602),TNC,P24821,OID01265,0.89603999999999995
Olink CARDIOMETABOLIC(v.3602),NID1,P14543,OID01250,0.90003999999999995
Olink CARDIOMETABOLIC(v.3602),CFHR5,Q9BXR6,OID01302,2.1066400000000001
