Panel,Protein,Uniprot,OlinkRef,Intra plate CV,Inter plate CV,Biotemporal CV
CARDIOMETABOLIC,ANG,P03950,OID01226,3.080470653775197,5.625573110590605,3.631632456482781
CARDIOMETABOLIC,ANGPTL3,Q9Y5C1,OID01306,2.996320696471716,4.063659010735311,4.56663455983698
CARDIOMETABOLIC,AOC3,Q16853,OID01294,2.6775422965270836,4.714747654924389,4.449515557321957
CARDIOMETABOLIC,APOM,O95445,OID01221,3.2698451287315753,5.927267281530544,3.5662570623892664
CARDIOMETABOLIC,C1QTNF1,Q9BXJ1,OID01301,3.3489380094181493,5.505388078828821,4.495210455347287
CARDIOMETABOLIC,C2,P06681,OID01233,1.607808097367146,2.7324019934131574,2.514517723488232
CARDIOMETABOLIC,CA1,P00915,OID01223,2.231057300218521,4.399830773419427,6.887036428893538
CARDIOMETABOLIC,CA3,P07451,OID01235,9.115142915909631,10.5097460854147,9.667933449748256
CARDIOMETABOLIC,CA4,P22748,OID01261,5.198852688441145,6.653692768328866,6.433548232834614
CARDIOMETABOLIC,CCL14,Q16627,OID01292,2.5186794570376128,3.9920710727378714,3.0524589613430204
CARDIOMETABOLIC,CCL18,P55774,OID01276,4.866229095044063,11.653680004982574,4.949584720764697
CARDIOMETABOLIC,CCL5,P13501,OID01246,2.8974703961615367,13.297059030269693,8.80320884596211
CARDIOMETABOLIC,CD46,P15529,OID01251,4.291352402069331,15.093205836010105,7.330587988296875
CARDIOMETABOLIC,CD59,P13987,OID01248,136.5311760545077,92.37914087741287,303.9468336877661
CARDIOMETABOLIC,CDH1,P12830,OID01245,4.0626613829618,6.423120983262286,5.269985196096337
CARDIOMETABOLIC,CES1,P23141,OID01263,5.415612816804507,7.495150058520788,6.650972741167314
CARDIOMETABOLIC,CFHR5,Q9BXR6,OID01302,1.625314025552307,1.9654654031654277,1.8835679640822145
CARDIOMETABOLIC,CHL1,O00533,OID01216,2.93711455856865,5.195790062737945,3.7485176632126467
CARDIOMETABOLIC,CNDP1,Q96KN2,OID01299,2.404139709666071,4.843456490624923,4.358579501235307
CARDIOMETABOLIC,COL18A1,P39060,OID01271,3.083253079319699,5.2880811777599215,4.149078269799488
