Panel,Protein,Uniprot,OlinkRef,Diagnosis,Inter subject,Biotemporal
CARDIOMETABOLIC,ANG,P03950,OID01226,0,54.326304232657506,45.673695767342494
CARDIOMETABOLIC,ANGPTL3,Q9Y5C1,OID01306,0,65.32950077081928,34.67049922918071
CARDIOMETABOLIC,AOC3,Q16853,OID01294,0,49.358364177747845,50.64163582225216
CARDIOMETABOLIC,APOM,O95445,OID01221,4.761880267453652,48.482006043857965,46.75611368868837
CARDIOMETABOLIC,C1QTNF1,Q9BXJ1,OID01301,0,75.31320219144678,24.68679780855322
CARDIOMETABOLIC,C2,P06681,OID01233,0,58.76508062634095,41.23491937365904
CARDIOMETABOLIC,CA1,P00915,OID01223,0,28.09089218140023,71.90910781859978
CARDIOMETABOLIC,CA3,P07451,OID01235,0,45.103428143250596,54.896571856749404
CARDIOMETABOLIC,CA4,P22748,OID01261,0,53.61417029054443,46.38582970945557
CARDIOMETABOLIC,CCL14,Q16627,OID01292,0,44.42639525011411,55.57360474988588
CARDIOMETABOLIC,CCL18,P55774,OID01276,0,56.57059967746731,43.4294003225327
CARDIOMETABOLIC,CCL5,P13501,OID01246,0.8866885284671814,41.77866794723781,57.33464352429501
CARDIOMETABOLIC,CD46,P15529,OID01251,2.4586240439291283,31.742864920827362,65.79851103524352
CARDIOMETABOLIC,CD59,P13987,OID01248,0,66.78253168683977,33.21746831316023
CARDIOMETABOLIC,CDH1,P12830,OID01245,0.5800792675301063,62.268879173579194,37.1510415588907
CARDIOMETABOLIC,CES1,P23141,OID01263,0,81.74375424752061,18.25624575247939
CARDIOMETABOLIC,CFHR5,Q9BXR6,OID01302,4.648233331670166,56.341137738788035,39.0106289295418
CARDIOMETABOLIC,CHL1,O00533,OID01216,0,55.81795911697382,44.18204088302619
CARDIOMETABOLIC,CNDP1,Q96KN2,OID01299,5.900229138557693,60.864736864752246,33.23503399669007
CARDIOMETABOLIC,COL18A1,P39060,OID01271,1.1837857985018294,59.20992139968286,39.6062928018153
CARDIOMETABOLIC,COMP,P49747,OID01274,0,59.084148137683776,40.915851862316224
CARDIOMETABOLIC,CR2,P20023,OID01258,0,69.74609532881733,30.253904671182678
CARDIOMETABOLIC,CRTAC1,Q9NQ79,OID01304,0,82.95172019591101,17.048279804089
CARDIOMETABOLIC,CST3,P01034,OID01225,0,71.95829238265377,28.041707617346233
CARDIOMETABOLIC,DPP4,P27487,OID01266,4.386594516594672,23.79360718149878,71.81979830190656
CARDIOMETABOLIC,EFEMP1,Q12805,OID01281,0,55.40462794981737,44.595372050182625
CARDIOMETABOLIC,ENG,P17813,OID01254,0.6508440069295498,48.69570754102506,50.65344845204538
CARDIOMETABOLIC,F11,P03951,OID01227,0,58.06893362318888,41.931066376811124
CARDIOMETABOLIC,F7,P08709,OID01239,0,55.20597770110953,44.79402229889047
CARDIOMETABOLIC,FAP,Q12884,OID01282,0,26.496312310635275,73.50368768936472
CARDIOMETABOLIC,FCGR2A,P12318,OID01244,0,73.18284401342393,26.817155986576054
CARDIOMETABOLIC,FCGR3B,O75015,OID01219,14.606607357794218,70.70396140942651,14.689431232779281
CARDIOMETABOLIC,FCN2,Q15485,OID01290,0,78.08085058141859,21.91914941858141
CARDIOMETABOLIC,FETUB,Q9UGM5,OID01305,0,53.643526974859526,46.35647302514047
CARDIOMETABOLIC,GAS6,Q14393,OID01286,0,57.77065142135618,42.22934857864382
CARDIOMETABOLIC,GNLY,P22749,OID01262,0,33.29721146958098,66.70278853041903
CARDIOMETABOLIC,GP1BA,P07359,OID01234,8.908131587004931,41.19566721119421,49.896201201800864
CARDIOMETABOLIC,ICAM1,P05362,OID01230,0,59.56810706173803,40.43189293826197
CARDIOMETABOLIC,ICAM3,P32942,OID01267,0,55.37986954997131,44.6201304500287
CARDIOMETABOLIC,IGFBP3,P17936,OID01255,0,69.3268283900568,30.67317160994319
CARDIOMETABOLIC,IGFBP6,P24592,OID01264,2.8772787693950845,77.37676622922984,19.745955001375073
CARDIOMETABOLIC,IGLC2,P0DOY2,OID01240,3.6171734853581445,73.55213454862421,22.830691966017653
CARDIOMETABOLIC,IL7R,P16871,OID01253,0,70.22437861832279,29.77562138167721
CARDIOMETABOLIC,ITGAM,P11215,OID01242,3.042745133081026,30.52325156055092,66.43400330636806
CARDIOMETABOLIC,KIT,P10721,OID01241,0,60.464155262597544,39.535844737402456
CARDIOMETABOLIC,LILRB1,Q8NHL6,OID01297,0,75.86208095634142,24.13791904365859
CARDIOMETABOLIC,LILRB2,Q8N423,OID01296,1.7308376562575323,65.4328855743217,32.83627676942077
CARDIOMETABOLIC,LILRB5,O75023,OID01220,0,84.31449813434128,15.685501865658727
CARDIOMETABOLIC,LYVE1,Q9Y5Y7,OID01307,0,66.52372307168744,33.47627692831256
CARDIOMETABOLIC,MBL2,P11226,OID01243,0,93.48824494424727,6.511755055752727
CARDIOMETABOLIC,MEGF9,Q9H1U4,OID01303,0,48.957835570010026,51.042164429989974
CARDIOMETABOLIC,MET,P08581,OID01238,0,56.85093483464369,43.14906516535631
CARDIOMETABOLIC,MFAP5,Q13361,OID01285,0,55.53950956749071,44.46049043250928
CARDIOMETABOLIC,NCAM1,P13591,OID01247,0,69.56989553547027,30.43010446452974
CARDIOMETABOLIC,NID1,P14543,OID01250,0,53.452025364152185,46.54797463584781
CARDIOMETABOLIC,NOTCH1,P46531,OID01273,0,30.982735655462577,69.01726434453742
CARDIOMETABOLIC,NRP1,O14786,OID01217,0,50.797400333247104,49.2025996667529
CARDIOMETABOLIC,OSMR,Q99650,OID01300,0,54.40599701878485,45.594002981215155
CARDIOMETABOLIC,PAM,P19021,OID01256,0,42.83240016974013,57.16759983025988
CARDIOMETABOLIC,PCOLCE,Q15113,OID01289,0,66.65798533952392,33.34201466047607
CARDIOMETABOLIC,PLA2G7,Q13093,OID01283,0,57.400923100069654,42.59907689993035
CARDIOMETABOLIC,PLTP,P55058,OID01275,1.65883790569028,48.759432600215185,49.58172949409453
CARDIOMETABOLIC,PLXNB2,O15031,OID01218,0,60.14228936142918,39.85771063857082
CARDIOMETABOLIC,PROC,P04070,OID01228,0,45.735355368026944,54.26464463197307
CARDIOMETABOLIC,PRSS2,P07478,OID01236,3.9733153230638165,68.53911443614156,27.487570240794632
CARDIOMETABOLIC,PTPRS,Q13332,OID01284,0,55.86715259948456,44.13284740051544
CARDIOMETABOLIC,QPCT,Q16769,OID01293,0,47.43291066483684,52.56708933516316
CARDIOMETABOLIC,REG1A,P05451,OID01231,4.3579303126952675,67.98332478167045,27.65874490563428
CARDIOMETABOLIC,SAA4,P35542,OID01269,0,76.182176514562,23.817823485437987
CARDIOMETABOLIC,SELL,P14151,OID01249,0,50.03641845517486,49.96358154482513
CARDIOMETABOLIC,SERPINA5,P05154,OID01229,0,40.49303689506669,59.50696310493333
CARDIOMETABOLIC,SERPINA7,P05543,OID01232,0,56.12926408930836,43.87073591069164
CARDIOMETABOLIC,SOD1,P00441,OID01222,2.1122832038464168,13.70804258421455,84.17967421193904
CARDIOMETABOLIC,SPARCL1,Q14515,OID01287,0,64.85434177914897,35.14565822085103
CARDIOMETABOLIC,ST6GAL1,P15907,OID01252,0,8.99499768325548,91.00500231674451
CARDIOMETABOLIC,TCN2,P20062,OID01259,0,56.514480447835254,43.485519552164746
CARDIOMETABOLIC,TGFBI,Q15582,OID01291,6.642053086467428,45.630094229114974,47.72785268441759
CARDIOMETABOLIC,TGFBR3,Q03167,OID01279,0,66.91153154990491,33.088468450095085
CARDIOMETABOLIC,THBS4,P35443,OID01268,2.2100921486249807,52.67835259269649,45.111555258678514
CARDIOMETABOLIC,TIE1,P35590,OID01270,0,58.56622484663582,41.433775153364195
CARDIOMETABOLIC,TIMD4,Q96H15,OID01298,0,79.12163821861999,20.87836178138
CARDIOMETABOLIC,TIMP1,P01033,OID01224,0,61.03347340191063,38.96652659808936
CARDIOMETABOLIC,TNC,P24821,OID01265,0,77.5901418319003,22.409858168099703
CARDIOMETABOLIC,TNXB,P22105,OID01260,4.267971857632488,21.196740544006488,74.53528759836104
CARDIOMETABOLIC,UMOD,P07911,OID01237,0,81.4200584266964,18.57994157330361
CARDIOMETABOLIC,VASN,Q6EMK4,OID01295,0,52.37278289057147,47.62721710942852
CARDIOMETABOLIC,VCAM1,P19320,OID01257,0,74.89163664305879,25.1083633569412
CARDIOVASCULAR III,ALCAM,Q13740,OID00572,0,56.88448440469657,43.11551559530344
CARDIOVASCULAR III,AP.N,P15144,OID00611,0,50.10108864020393,49.898911359796074
CARDIOVASCULAR III,AXL,P30530,OID00612,0,75.32250834311593,24.677491656884076
CARDIOVASCULAR III,AZU1,P20160,OID00597,0,55.31242237008803,44.687577629911985
