Panel,Protein,Uniprot,OlinkRef,Diagnosis,Inter subject,Biotemporal
CARDIOMETABOLIC,ANG,P03950,OID01226,0,54.326304232670005,45.673695767329995
CARDIOMETABOLIC,ANGPTL3,Q9Y5C1,OID01306,0,65.32950077081067,34.670499229189346
CARDIOMETABOLIC,AOC3,Q16853,OID01294,0,49.358364177730955,50.641635822269045
CARDIOMETABOLIC,APOM,O95445,OID01221,4.761880267453577,48.48200604385174,46.75611368869468
CARDIOMETABOLIC,C1QTNF1,Q9BXJ1,OID01301,0,75.31320219144096,24.68679780855903
CARDIOMETABOLIC,C2,P06681,OID01233,0,58.765080626295116,41.23491937370489
CARDIOMETABOLIC,CA1,P00915,OID01223,0,28.09089218138579,71.9091078186142
CARDIOMETABOLIC,CA3,P07451,OID01235,0,45.103428143250724,54.896571856749276
CARDIOMETABOLIC,CA4,P22748,OID01261,0,53.61417029055529,46.38582970944469
CARDIOMETABOLIC,CCL14,Q16627,OID01292,0,44.42639525010837,55.57360474989164
CARDIOMETABOLIC,CCL18,P55774,OID01276,0,56.57059967746874,43.42940032253126
CARDIOMETABOLIC,CCL5,P13501,OID01246,0.8866885284671576,41.778667947235085,57.33464352429776
CARDIOMETABOLIC,CD46,P15529,OID01251,2.4586240439292517,31.742864920828357,65.7985110352424
CARDIOMETABOLIC,CD59,P13987,OID01248,0,66.78253168683962,33.21746831316038
CARDIOMETABOLIC,CDH1,P12830,OID01245,0.5800792675301842,62.2688791735828,37.151041558887
CARDIOMETABOLIC,CES1,P23141,OID01263,0,81.7437542475189,18.256245752481107
CARDIOMETABOLIC,CFHR5,Q9BXR6,OID01302,4.648233331671869,56.34113773882886,39.01062892949926
CARDIOMETABOLIC,CHL1,O00533,OID01216,0,55.817959116971075,44.18204088302893
CARDIOMETABOLIC,CNDP1,Q96KN2,OID01299,5.900229138557846,60.86473686475474,33.23503399668741
CARDIOMETABOLIC,COL18A1,P39060,OID01271,1.1837857985018148,59.20992139968606,39.60629280181212
CARDIOMETABOLIC,COMP,P49747,OID01274,0,59.08414813768321,40.91585186231679
CARDIOMETABOLIC,CR2,P20023,OID01258,0,69.74609532882396,30.25390467117605
CARDIOMETABOLIC,CRTAC1,Q9NQ79,OID01304,0,82.95172019590765,17.048279804092342
CARDIOMETABOLIC,CST3,P01034,OID01225,0,71.95829238265863,28.041707617341366
CARDIOMETABOLIC,DPP4,P27487,OID01266,4.38659451659465,23.793607181499492,71.81979830190586
CARDIOMETABOLIC,EFEMP1,Q12805,OID01281,0,55.404627949820444,44.595372050179556
CARDIOMETABOLIC,ENG,P17813,OID01254,0.650844006929268,48.695707541014855,50.65344845205586
CARDIOMETABOLIC,F11,P03951,OID01227,0,58.06893362317711,41.931066376822905
CARDIOMETABOLIC,F7,P08709,OID01239,0,55.20597770111897,44.79402229888104
CARDIOMETABOLIC,FAP,Q12884,OID01282,0,26.496312310635865,73.50368768936414
CARDIOMETABOLIC,FCGR2A,P12318,OID01244,0,73.18284401342576,26.81715598657423
CARDIOMETABOLIC,FCGR3B,O75015,OID01219,14.606607357794209,70.70396140942559,14.689431232780201
CARDIOMETABOLIC,FCN2,Q15485,OID01290,0,78.08085058139997,21.919149418600018
CARDIOMETABOLIC,FETUB,Q9UGM5,OID01305,0,53.643526974849884,46.356473025150116
CARDIOMETABOLIC,GAS6,Q14393,OID01286,0,57.77065142135587,42.22934857864414
CARDIOMETABOLIC,GNLY,P22749,OID01262,0,33.29721146958208,66.70278853041793
CARDIOMETABOLIC,GP1BA,P07359,OID01234,8.908131587003545,41.19566721118484,49.896201201811614
CARDIOMETABOLIC,ICAM1,P05362,OID01230,0,59.56810706175614,40.43189293824387
CARDIOMETABOLIC,ICAM3,P32942,OID01267,0,55.37986954999478,44.62013045000521
CARDIOMETABOLIC,IGFBP3,P17936,OID01255,0,69.32682839006108,30.673171609938912
CARDIOMETABOLIC,IGFBP6,P24592,OID01264,2.877278769395046,77.3767662292349,19.745955001370042
CARDIOMETABOLIC,IGLC2,P0DOY2,OID01240,3.6171734853581747,73.55213454861952,22.8306919660223
CARDIOMETABOLIC,IL7R,P16871,OID01253,0,70.22437861832002,29.775621381679983
CARDIOMETABOLIC,ITGAM,P11215,OID01242,3.042745133081176,30.523251560551902,66.43400330636693
CARDIOMETABOLIC,KIT,P10721,OID01241,0,60.464155262583475,39.535844737416525
CARDIOMETABOLIC,LILRB1,Q8NHL6,OID01297,0,75.86208095634576,24.13791904365423
CARDIOMETABOLIC,LILRB2,Q8N423,OID01296,1.7308376562572487,65.43288557431408,32.836276769428665
CARDIOMETABOLIC,LILRB5,O75023,OID01220,0,84.31449813432889,15.685501865671105
CARDIOMETABOLIC,LYVE1,Q9Y5Y7,OID01307,0,66.52372307170509,33.476276928294894
CARDIOMETABOLIC,MBL2,P11226,OID01243,0,93.48824494424383,6.511755055756171
CARDIOMETABOLIC,MEGF9,Q9H1U4,OID01303,0,48.95783556998723,51.04216443001277
CARDIOMETABOLIC,MET,P08581,OID01238,0,56.850934834655035,43.149065165344965
CARDIOMETABOLIC,MFAP5,Q13361,OID01285,0,55.539509567492495,44.460490432507505
CARDIOMETABOLIC,NCAM1,P13591,OID01247,0,69.5698955354749,30.4301044645251
CARDIOMETABOLIC,NID1,P14543,OID01250,0,53.45202536416267,46.54797463583733
CARDIOMETABOLIC,NOTCH1,P46531,OID01273,0,30.982735655470904,69.0172643445291
CARDIOMETABOLIC,NRP1,O14786,OID01217,0,50.797400333246344,49.202599666753656
CARDIOMETABOLIC,OSMR,Q99650,OID01300,0,54.40599701878395,45.59400298121605
CARDIOMETABOLIC,PAM,P19021,OID01256,0,42.83240016974502,57.16759983025498
CARDIOMETABOLIC,PCOLCE,Q15113,OID01289,0,66.65798533951371,33.34201466048629
CARDIOMETABOLIC,PLA2G7,Q13093,OID01283,0,57.40092310006913,42.59907689993087
CARDIOMETABOLIC,PLTP,P55058,OID01275,1.6588379056904143,48.75943260021707,49.58172949409251
CARDIOMETABOLIC,PLXNB2,O15031,OID01218,0,60.14228936142611,39.85771063857389
CARDIOMETABOLIC,PROC,P04070,OID01228,0,45.73535536803904,54.26464463196097
CARDIOMETABOLIC,PRSS2,P07478,OID01236,3.973315323063932,68.53911443614477,27.487570240791307
CARDIOMETABOLIC,PTPRS,Q13332,OID01284,0,55.86715259948436,44.13284740051564
CARDIOMETABOLIC,QPCT,Q16769,OID01293,0,47.43291066483662,52.56708933516338
CARDIOMETABOLIC,REG1A,P05451,OID01231,4.357930312694807,67.98332478166132,27.658744905643864
CARDIOMETABOLIC,SAA4,P35542,OID01269,0,76.18217651456364,23.817823485436374
CARDIOMETABOLIC,SELL,P14151,OID01249,0,50.03641845520134,49.963581544798664
CARDIOMETABOLIC,SERPINA5,P05154,OID01229,0,40.49303689507649,59.50696310492351
CARDIOMETABOLIC,SERPINA7,P05543,OID01232,0,56.129264089298715,43.8707359107013
CARDIOMETABOLIC,SOD1,P00441,OID01222,2.112283203846368,13.708042584215343,84.17967421193828
CARDIOMETABOLIC,SPARCL1,Q14515,OID01287,0,64.85434177914647,35.14565822085352
CARDIOMETABOLIC,ST6GAL1,P15907,OID01252,0,8.99499768325675,91.00500231674326
CARDIOMETABOLIC,TCN2,P20062,OID01259,0,56.51448044785285,43.485519552147146
CARDIOMETABOLIC,TGFBI,Q15582,OID01291,6.642053086470554,45.630094229150615,47.727852684378824
CARDIOMETABOLIC,TGFBR3,Q03167,OID01279,0,66.91153154990631,33.088468450093686
CARDIOMETABOLIC,THBS4,P35443,OID01268,2.210092148624985,52.67835259267789,45.111555258697116
CARDIOMETABOLIC,TIE1,P35590,OID01270,0,58.56622484663427,41.43377515336573
CARDIOMETABOLIC,TIMD4,Q96H15,OID01298,0,79.12163821861009,20.87836178138991
CARDIOMETABOLIC,TIMP1,P01033,OID01224,0,61.033473401918556,38.966526598081444
CARDIOMETABOLIC,TNC,P24821,OID01265,0,77.5901418318976,22.409858168102403
CARDIOMETABOLIC,TNXB,P22105,OID01260,4.267971857632478,21.19674054400678,74.53528759836074
CARDIOMETABOLIC,UMOD,P07911,OID01237,0,81.42005842670237,18.579941573297642
CARDIOMETABOLIC,VASN,Q6EMK4,OID01295,0,52.37278289057155,47.62721710942845
CARDIOMETABOLIC,VCAM1,P19320,OID01257,0,74.89163664308052,25.108363356919483
CARDIOVASCULAR III,ALCAM,Q13740,OID00572,0,56.88448440474069,43.11551559525932
CARDIOVASCULAR III,AP.N,P15144,OID00611,0,50.1010886401945,49.8989113598055
CARDIOVASCULAR III,AXL,P30530,OID00612,0,75.32250834307261,24.67749165692739
CARDIOVASCULAR III,AZU1,P20160,OID00597,0,55.31242237008678,44.68757762991322
CARDIOVASCULAR III,BLM.hydrolase,Q13867,OID00581,4.983306556800569,45.97209086191703,49.0446025812824
CARDIOVASCULAR III,CASP.3,P42574,OID00630,0,35.48435900496504,64.51564099503496
CARDIOVASCULAR III,CCL15,Q16663,OID00629,11.731462093839996,73.69183896421963,14.576698941940373
CARDIOVASCULAR III,CCL16,O15467,OID00654,6.559228378283196,76.66352417817522,16.77724744354159
CARDIOVASCULAR III,CCL24,O00175,OID00592,8.224007889085174,83.5991219676624,8.17687014325244
CARDIOVASCULAR III,CD163,Q86VB7,OID00577,0,74.36989020413448,25.630109795865522
CARDIOVASCULAR III,CD93,Q9NPY3,OID00639,0,71.38362064876858,28.61637935123142
CARDIOVASCULAR III,CDH5,P33151,OID00587,0,62.91869856347833,37.081301436521684
CARDIOVASCULAR III,CHI3L1,P36222,OID00633,5.631435044999451,73.14298367545318,21.225581279547367
CARDIOVASCULAR III,CHIT1,Q13231,OID00605,0,94.93140124312289,5.06859875687712
CARDIOVASCULAR III,CNTN1,Q12860,OID00586,0,62.61814484543309,37.38185515456691
CARDIOVASCULAR III,COL1A1,P02452,OID00641,0,56.75658797280074,43.24341202719927
CARDIOVASCULAR III,CPA1,P15085,OID00624,0,71.73510740901914,28.26489259098086
CARDIOVASCULAR III,CPB1,P15086,OID00632,1.5909182518436824,73.63317211450321,24.775909633653125
CARDIOVASCULAR III,CSTB,P04080,OID00575,0,71.76583617525276,28.23416382474724
CARDIOVASCULAR III,CTSD,P07339,OID00622,0,77.328131099191907,22.6718689008081
CARDIOVASCULAR III,CTSZ,Q9UBR2,OID00643,0,70.47609257513678,29.523907424863218
CARDIOVASCULAR III,CXCL16,Q9H2A7,OID00601,2.5341272922476685,63.89429766273218,33.57157504502016
CARDIOVASCULAR III,DLK.1,P80370,OID00598,0,79.48199119789278,20.518008802107204
CARDIOVASCULAR III,EGFR,P00533,OID00637,3.717552988508409,37.3010938328644,58.98135317862718
CARDIOVASCULAR III,Ep.CAM,P16422,OID00610,0,81.71075451411544,18.289245485884578
CARDIOVASCULAR III,EPHB4,P54760,OID00569,0,80.29061543073432,19.70938456926569
CARDIOVASCULAR III,FABP4,P15090,OID00589,0,72.59015310857703,27.409846891422976
CARDIOVASCULAR III,FAS,P25445,OID00615,1.0900551881589267,69.32508666969369,29.584858142147397
CARDIOVASCULAR III,Gal.3,P17931,OID00578,0,70.41459303075472,29.585406969245287
CARDIOVASCULAR III,Gal.4,P56470,OID00626,0,68.71105759204048,31.288942407959535
CARDIOVASCULAR III,GDF.15,Q99988,OID00595,3.213227263231793,74.98704011850897,21.79973261825924
CARDIOVASCULAR III,GP6,Q9HCN6,OID05026,0,29.56071128113192,70.43928871886808
CARDIOVASCULAR III,GRN,P28799,OID00579,0,71.0230740268403,28.976925973159698
CARDIOVASCULAR III,ICAM.2,P13598,OID00646,0,74.08806658531584,25.911933414684167
