proteinID,Multiplex,Symbol,Uniprot,OlinkRef,Fluid,percent missing values,mean_NPX,Intraplate CV,Interplate CV,Short term biotemporal CV,Long term biotemporal CV,plasma CSF correlation
CARDIOMETABOLIC_ANG_P03950_OID01226,CARDIOMETABOLIC,ANG,P03950,OID01226,CSF,0,NA,NA,NA,2.523614807728393,NA,0.19426573725233218
CARDIOMETABOLIC_ANG_P03950_OID01226,CARDIOMETABOLIC,ANG,P03950,OID01226,plasma,0.3968253968253968,6.443648611111111,3.080470653775197,5.625573110590605,2.99395056726233,3.631632456482781,0.19426573725233218
CARDIOMETABOLIC_ANGPTL3_Q9Y5C1_OID01306,CARDIOMETABOLIC,ANGPTL3,Q9Y5C1,OID01306,plasma,0.3968253968253968,4.164546388888889,2.996320696471716,4.063659010735311,7.373614047281008,4.56663455983698,0.2787098422880497
CARDIOMETABOLIC_ANGPTL3_Q9Y5C1_OID01306,CARDIOMETABOLIC,ANGPTL3,Q9Y5C1,OID01306,CSF,0,NA,NA,NA,-15.03018255656007,NA,0.2787098422880497
CARDIOMETABOLIC_AOC3_Q16853_OID01294,CARDIOMETABOLIC,AOC3,Q16853,OID01294,CSF,0,NA,NA,NA,6.421346322516035,NA,0.2800160405181904
CARDIOMETABOLIC_AOC3_Q16853_OID01294,CARDIOMETABOLIC,AOC3,Q16853,OID01294,plasma,0.3968253968253968,4.039483888888888,2.6775422965270836,4.714747654924389,3.3888111522196,4.449515557321957,0.2800160405181904
CARDIOMETABOLIC_APOM_O95445_OID01221,CARDIOMETABOLIC,APOM,O95445,OID01221,plasma,0.3968253968253968,6.604328611111111,3.2698451287315753,5.927267281530544,2.7546080691520953,3.5662570623892664,0.015325661907096937
CARDIOMETABOLIC_APOM_O95445_OID01221,CARDIOMETABOLIC,APOM,O95445,OID01221,CSF,0,NA,NA,NA,16.302658432187677,NA,0.015325661907096937
CARDIOMETABOLIC_C1QTNF1_Q9BXJ1_OID01301,CARDIOMETABOLIC,C1QTNF1,Q9BXJ1,OID01301,CSF,0,NA,NA,NA,1.574671092388128,NA,0.6043364283532988
CARDIOMETABOLIC_C1QTNF1_Q9BXJ1_OID01301,CARDIOMETABOLIC,C1QTNF1,Q9BXJ1,OID01301,plasma,0.3968253968253968,4.918885277777778,3.3489380094181493,5.505388078828821,6.714140240488035,4.495210455347287,0.6043364283532988
CARDIOMETABOLIC_C2_P06681_OID01233,CARDIOMETABOLIC,C2,P06681,OID01233,plasma,0.3968253968253968,7.187672777777777,1.607808097367146,2.7324019934131574,2.9719048927562026,2.514517723488232,0.37624077527005106
CARDIOMETABOLIC_C2_P06681_OID01233,CARDIOMETABOLIC,C2,P06681,OID01233,CSF,0,NA,NA,NA,8.278115655289671,NA,0.37624077527005106
CARDIOMETABOLIC_CA1_P00915_OID01223,CARDIOMETABOLIC,CA1,P00915,OID01223,CSF,0,NA,NA,NA,87.10930295596565,NA,-0.4528141714854854
